PBS L2:L3,Sensor,s1 [mm],T1 [deg],R1 [mm],X1 [mm],Y1 [mm],Z1 [mm],P1 [deg],s2 [mm],T2 [deg],R2 [mm],X2 [mm],Y2 [mm],Z2 [mm],Nturns,Turn Area [mm^2]
MAGX:BPMX,BP-DVT6-010L,-1665.74,2.5,1900,1898.19,82.88,-1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT6-110U,1665.74,102.5,1900,-411.24,1854.96,1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT6-110L,-1665.74,102.5,1900,-411.24,1854.96,-1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT6-190U,1665.74,182.5,1900,-1898.19,-82.88,1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT6-190L,-1665.74,182.5,1900,-1898.19,-82.88,-1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT6-290U,1665.74,282.5,1900,411.24,-1854.96,1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT6-290L,-1665.74,282.5,1900,411.24,-1854.96,-1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-010U,1432.11,2.5,1999.82,1997.92,87.23,1059.68,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-010L,-1432.11,2.5,1999.82,1997.92,87.23,-1059.68,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-110U,1432.11,102.5,1999.82,-432.84,1952.42,1059.68,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-110L,-1432.11,102.5,1999.82,-432.84,1952.42,-1059.68,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-190U,1432.11,182.5,1999.82,-1997.92,-87.23,1059.68,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-190L,-1432.11,182.5,1999.82,-1997.92,-87.23,-1059.68,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-290U,1432.11,282.5,1999.82,432.84,-1952.42,1059.68,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OOLM-290L,-1432.11,282.5,1999.82,432.84,-1952.42,-1059.68,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-010U,801,4.5,2544.04,2536.19,199.6,740.1,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-010L,-801,4.5,2544.04,2536.19,199.6,-740.1,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-110U,801,104.5,2544.04,-636.98,2463,740.1,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-110L,-801,104.5,2544.04,-636.98,2463,-740.1,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-190U,801,184.5,2544.04,-2536.19,-199.6,740.1,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-190L,-801,184.5,2544.04,-2536.19,-199.6,-740.1,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-290U,801,284.5,2544.04,636.98,-2463,740.1,149.58,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-VSCM-290L,-801,284.5,2544.04,636.98,-2463,-740.1,30.42,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-010U,425,8.6,2660,2630.09,397.76,425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-010L,-425,8.6,2660,2630.09,397.76,-425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-110U,425,108.6,2660,-848.43,2521.06,425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-110L,-425,108.6,2660,-848.43,2521.06,-425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-190U,425,188.6,2660,-2630.09,-397.76,425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-190L,-425,188.6,2660,-2630.09,-397.76,-425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-290U,425,288.6,2660,848.43,-2521.06,425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-OLIM-290L,-425,288.6,2660,848.43,-2521.06,-425,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BN-DVT1-010U,2994.99,12.5,1240,1210.61,268.39,1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT1-010L,-2994.99,12.5,1240,1210.61,268.39,-1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT1-110U,2994.99,112.5,1240,-474.53,1145.61,1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT1-110L,-2994.99,112.5,1240,-474.53,1145.61,-1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT1-190U,2994.99,192.5,1240,-1210.61,-268.39,1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT1-190L,-2994.99,192.5,1240,-1210.61,-268.39,-1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT1-290U,2994.99,292.5,1240,474.53,-1145.61,1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT1-290L,-2994.99,292.5,1240,474.53,-1145.61,-1107.98,180,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-010U,2699.95,12.5,1359.91,1327.67,294.34,1359.55,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-010L,-2699.95,12.5,1359.91,1327.67,294.34,-1359.55,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-110U,2699.95,112.5,1359.91,-520.41,1256.39,1359.55,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-110L,-2699.95,112.5,1359.91,-520.41,1256.39,-1359.55,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-190U,2699.95,192.5,1359.91,-1327.67,-294.34,1359.55,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-190L,-2699.95,192.5,1359.91,-1327.67,-294.34,-1359.55,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-290U,2699.95,292.5,1359.91,520.41,-1256.39,1359.55,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT23-290L,-2699.95,292.5,1359.91,520.41,-1256.39,-1359.55,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-010U,2427.05,12.5,1550.12,1513.38,335.51,1555.24,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-010L,-2427.05,12.5,1550.12,1513.38,335.51,-1555.24,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-110U,2427.05,112.5,1550.12,-593.21,1432.13,1555.24,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-110L,-2427.05,112.5,1550.12,-593.21,1432.13,-1555.24,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-190U,2427.05,192.5,1550.12,-1513.38,-335.51,1555.24,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-190L,-2427.05,192.5,1550.12,-1513.38,-335.51,-1555.24,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-290U,2427.05,292.5,1550.12,593.21,-1432.13,1555.24,135.81,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DVT4-290L,-2427.05,292.5,1550.12,593.21,-1432.13,-1555.24,224.19,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-010U,2182.5,12.5,1758.36,1716.68,380.58,1655,90,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-010L,-2182.5,12.5,1758.36,1716.68,380.58,-1655,270,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-110U,2182.5,112.5,1758.36,-672.89,1624.51,1655,90,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-110L,-2182.5,112.5,1758.36,-672.89,1624.51,-1655,270,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-190U,2182.5,192.5,1758.36,-1716.68,-380.58,1655,90,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-190L,-2182.5,192.5,1758.36,-1716.68,-380.58,-1655,270,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-290U,2182.5,292.5,1758.36,672.89,-1624.51,1655,90,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5B-290L,-2182.5,292.5,1758.36,672.89,-1624.51,-1655,270,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-010U,1924.05,12.5,1900,1854.96,411.24,1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-010L,-1924.05,12.5,1900,1854.96,411.24,-1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-110U,1924.05,112.5,1900,-727.1,1755.37,1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-110L,-1924.05,112.5,1900,-727.1,1755.37,-1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-190U,1924.05,192.5,1900,-1854.96,-411.24,1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-190L,-1924.05,192.5,1900,-1854.96,-411.24,-1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-290U,1924.05,292.5,1900,727.1,-1755.37,1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-DT5C-290L,-1924.05,292.5,1900,727.1,-1755.37,-1503.64,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-010U,500,8.6,2660,2630.09,397.76,500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-010L,-500,8.6,2660,2630.09,397.76,-500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-110U,500,108.6,2660,-848.43,2521.06,500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-110L,-500,108.6,2660,-848.43,2521.06,-500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-190U,500,188.6,2660,-2630.09,-397.76,500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-190L,-500,188.6,2660,-2630.09,-397.76,-500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-290U,500,288.6,2660,848.43,-2521.06,500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-OLIM-290L,-500,288.6,2660,848.43,-2521.06,-500,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BP-LOMN-008M,75,8.5,2660,2630.78,393.17,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-032M,75,31.5,2660,2268.02,1389.85,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-048M,75,48.5,2660,1762.57,1992.22,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-092M,75,91.5,2660,-69.63,2659.09,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-108M,75,108.5,2660,-844.03,2522.54,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-132M,75,131.5,2660,-1762.57,1992.22,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-148M,75,148.5,2660,-2268.02,1389.85,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-172M,75,171.5,2660,-2630.78,393.17,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-188M,75,188.5,2660,-2630.78,-393.17,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-212M,75,211.5,2660,-2268.02,-1389.85,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-228M,75,228.5,2660,-1762.57,-1992.22,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-272M,75,271.5,2660,69.63,-2659.09,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-288M,75,288.5,2660,844.03,-2522.54,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-312M,75,311.5,2660,1762.57,-1992.22,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-328M,75,328.5,2660,2268.02,-1389.85,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-LOMN-352M,75,351.5,2660,2630.78,-393.17,75,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BN-LOMN-008M,0,8.5,2660,2630.78,393.17,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-032M,0,31.5,2660,2268.02,1389.85,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-048M,0,48.5,2660,1762.57,1992.22,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-092M,0,91.5,2660,-69.63,2659.09,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-108M,0,108.5,2660,-844.03,2522.54,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-132M,0,131.5,2660,-1762.57,1992.22,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-148M,0,148.5,2660,-2268.02,1389.85,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-172M,0,171.5,2660,-2630.78,393.17,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-188M,0,188.5,2660,-2630.78,-393.17,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-212M,0,211.5,2660,-2268.02,-1389.85,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-228M,0,228.5,2660,-1762.57,-1992.22,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-272M,0,271.5,2660,69.63,-2659.09,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-288M,0,288.5,2660,844.03,-2522.54,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-312M,0,311.5,2660,1762.57,-1992.22,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-328M,0,328.5,2660,2268.02,-1389.85,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:BPMX,BN-LOMN-352M,0,351.5,2660,2630.78,-393.17,0,0,nan,nan,nan,nan,nan,nan,12,924.2
MAGX:PFLX,SL-IMID-010M,3934.97,355,1240,1235.28,-108.07,168,nan,-3934.97,35,1240,1015.75,711.23,-168,1,nan
MAGX:PFLX,SL-IMID-110M,3934.97,95,1240,-108.07,1235.28,168,nan,-3934.97,135,1240,-876.81,876.81,-168,1,nan
MAGX:PFLX,SL-IMID-190M,3934.97,175,1240,-1235.28,108.07,168,nan,-3934.97,215,1240,-1015.75,-711.23,-168,1,nan
MAGX:PFLX,SL-IMID-290M,3934.97,275,1240,108.07,-1235.28,168,nan,-3934.97,315,1240,876.81,-876.81,-168,1,nan
MAGX:PFLX,SL-ILIM-010U,3566.94,352.5,1240,1229.39,-161.85,536.03,nan,3934.97,32.5,1240,1045.81,666.25,168,1,nan
MAGX:PFLX,SL-ILIM-010L,-3934.97,352.5,1240,1229.39,-161.85,-168,nan,-3566.94,32.5,1240,1045.81,666.25,-536.03,1,nan
MAGX:PFLX,SL-ILIM-110U,3566.94,92.5,1240,-54.09,1238.82,536.03,nan,3934.97,132.5,1240,-837.73,914.22,168,1,nan
MAGX:PFLX,SL-ILIM-110L,-3934.97,92.5,1240,-54.09,1238.82,-168,nan,-3566.94,132.5,1240,-837.73,914.22,-536.03,1,nan
MAGX:PFLX,SL-ILIM-190U,3566.94,172.5,1240,-1229.39,161.85,536.03,nan,3934.97,212.5,1240,-1045.81,-666.25,168,1,nan
MAGX:PFLX,SL-ILIM-190L,-3934.97,172.5,1240,-1229.39,161.85,-168,nan,-3566.94,212.5,1240,-1045.81,-666.25,-536.03,1,nan
MAGX:PFLX,SL-ILIM-290U,3566.94,272.5,1240,54.09,-1238.82,536.03,nan,3934.97,312.5,1240,837.73,-914.22,168,1,nan
MAGX:PFLX,SL-ILIM-290L,-3934.97,272.5,1240,54.09,-1238.82,-168,nan,-3566.94,312.5,1240,837.73,-914.22,-536.03,1,nan
MAGX:PFLX,SL-IOL1-010U,3326.14,352.5,1240,1229.39,-161.85,776.83,nan,3566.94,32.5,1240,1045.81,666.25,536.03,1,nan
MAGX:PFLX,SL-IOL1-010L,-3566.94,352.5,1240,1229.39,-161.85,-536.03,nan,-3326.14,32.5,1240,1045.81,666.25,-776.83,1,nan
MAGX:PFLX,SL-IOL1-110U,3326.14,92.5,1240,-54.09,1238.82,776.83,nan,3566.94,132.5,1240,-837.73,914.22,536.03,1,nan
MAGX:PFLX,SL-IOL1-110L,-3566.94,92.5,1240,-54.09,1238.82,-536.03,nan,-3326.14,132.5,1240,-837.73,914.22,-776.83,1,nan
MAGX:PFLX,SL-IOL1-190U,3326.14,172.5,1240,-1229.39,161.85,776.83,nan,3566.94,212.5,1240,-1045.81,-666.25,536.03,1,nan
