sensor,freq,R_ohm,L_uH,C_pF
BP_AB_TOP,10k,5.668,62.79,0
BP_AB_TOP,100k,9.459,59.3,0
BP_BC_BOT,1k,5.581,40,0
BP_BC_BOT,10k,5.617,38.7,0
BP_BC_BOT,100k,7.467,36.9,0
BP_BC_TOP,1k,5.885,63.575,0
BP_BC_TOP,10k,5.855,62.59,0
BP_BC_TOP,100k,9.717,59.18,0
BP_EF_BOT,1k,6.2275,41.47,0
BP_EF_BOT,10k,6.176,40.46,0
BP_EF_BOT,100k,8.07,38.7,0
BP_EF_TOP,1k,6.3715,62.53,0
BP_EF_TOP,10k,6.344,61.53,0
BP_EF_TOP,100k,9.995,58.46,0
BP_KA_BOT,1k,5.739,64,0
BP_KA_BOT,10k,5.825,62.69,0
BP_KA_BOT,100k,9.58,59.79,0
BP_KA_TOP,1k,6.408,64,0
BP_KA_TOP,10k,6.49,62.68,0
BP_KA_TOP,100k,9.95,59.75,0
